year,type,incidence,log_incidence,logit_incidence,pys,iso3,region,incidence_kp,log_kp_incidence,logit_kp_incidence,IRR,ref,id.ref,id.area,id.method,new_infections,norm_pys,id.ref2,id.ref3,id.iso3,centre_year,id.year,offset_term
1985,timeseries,0.002979686121421894,-5.815937312394162,-5.812953178169885,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-18,1,-5.815937312394162
1986,timeseries,0.003858577549148611,-5.55745667400537,-5.553590632940648,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-17,2,-5.55745667400537
1987,timeseries,0.004741847890832154,-5.351328368860539,-5.346575242741778,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-16,3,-5.351328368860539
1988,timeseries,0.005786800429467001,-5.152175742993904,-5.146372134158872,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-15,4,-5.152175742993904
1989,timeseries,0.006845294793365036,-4.984193754205598,-4.977324922910806,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-14,5,-4.984193754205598
1990,timeseries,0.007807746967376644,-4.852638837238589,-4.844800450224167,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-13,6,-4.852638837238589
1991,timeseries,0.008563370156270901,-4.7602614564671395,-4.751661209981959,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-12,7,-4.7602614564671395
1992,timeseries,0.009035777219673713,-4.706563335430898,-4.697486487988128,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-11,8,-4.706563335430898
1993,timeseries,0.00934074943504753,-4.673368790661935,-4.663984142850544,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-10,9,-4.673368790661935
1994,timeseries,0.009327890086102937,-4.674746432665664,-4.665374765367478,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-9,10,-4.674746432665664
1995,timeseries,0.00921283348489143,-4.687157822947753,-4.677902288847669,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-8,11,-4.687157822947753
1996,timeseries,0.00896214446986989,-4.714745742476984,-4.705743196419305,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-7,12,-4.714745742476984
1997,timeseries,0.0086436576758786,-4.750929443634585,-4.742248212880469,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-6,13,-4.750929443634585
1998,timeseries,0.008240761360417955,-4.7986625412202235,-4.7903876370815315,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-5,14,-4.7986625412202235
1999,timeseries,0.007860272636112008,-4.84593398661434,-4.838042659195523,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-4,15,-4.84593398661434
2000,timeseries,0.007418719436597342,-4.903748819365772,-4.896302444365996,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3,16,-4.903748819365772
2001,timeseries,0.006983833303793109,-4.964157329029645,-4.957148994620984,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2,17,-4.964157329029645
2002,timeseries,0.006533720849918057,-5.030778689409799,-5.024223530374039,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1,18,-5.030778689409799
