iso3,analysis_age,area_id,area,year,new_infections,total_py,incidence_kp,control_incid,infections,incidence,IRR,nat_infections,nat_incidence,nat_IRR,ref
BEN,Y015_039,BEN_1_3xj,Cotonou,2010,6,425.102,0.0141,NA,355.1920182,0.0033119,4.257375533,1575.424378,9.19E-04,15.34653229,Diabate et al
BEN,Y015_039,BEN_1_3xj,Cotonou,1998,10,121.1,0.083,NA,665.3958028,0.009010381,9.211597254,2951.307223,0.002499625,33.20498124,Van Damme et al
BFA,Y015_039,BFA_1_9,Bobo-Dioulasso,2000,19,593.75,0.032,NA,483.5458065,0.00201579,15.87466816,2881.923623,0.001352602,23.65810162,Nagot et al
BWA,Y015_039,BWA_3_20it,"Gaborone, Francistown, Kasane",2012,46,449.75,0.125,NA,666.0936832,0.01804451,6.92731464,6458.784907,0.016602207,7.529119555,Botswana MoH 
CIV,Y015_039,CIV_1_01df,Abidjan,1996,11,68,0.163,NA,5611.753919,0.020675642,7.883673053,31361.12811,0.012795456,12.73889713,Ghys et al 2001
CIV,Y015_039,CIV_1_29es,San Pedro,2017,4,187.5,0.033,NA,137.3915979,8.70E-04,37.93894571,4946.892673,0.001030917,32.01033932,Nouaman et al
CIV,Y015_039,CIV_1_01df,Abidjan,2017,3,293,0.016,NA,885.1959741,0.001665815,9.604905477,4946.892673,0.001030917,15.52016452,Nouaman et al
CIV,Y015_039,CIV_1_01df,Abidjan,1998,5,67.3,0.074,NA,4705.092934,0.016179267,4.573754655,26294.27883,0.010012802,7.390538603,Van Damme et al
CMR,Y015_039,CMR_1_3,"Yaounde, Douala",1995,46,698,0.066,NA,2575.094424,0.008389722,7.866767959,23485.78268,0.009914147,6.65715383,Roddy et al
COD,Y015_039,COD_1_10,Kinshasa,1988,70,879.8,0.117,NA,4802.467957,0.003374099,34.67592662,25605.35844,0.003453145,33.88215322,Laga et al
GNB,Y015_039,GNB,Guinea-Bissau,1994,3,125.5,0.0239,NA,856.8141693,0.004435182,5.388730609,856.8141693,0.004435182,5.388730609,van der Loeff et al
GNB,Y040_049,GNB,Guinea-Bissau,1994,7,159.5,0.0439,NA,87.78675034,0.002367165,18.54539048,87.78675034,0.002367165,18.54539048,van der Loeff et al
GNB,Y050_059,GNB,Guinea-Bissau,1994,5,66.8,0.0749,NA,29.49905773,0.001322007,56.65630037,29.49905773,0.001322007,56.65630037,van der Loeff et al
KEN,Y015_039,KEN_2_01,Mombasa (Kisauni and Chaani),2007,10,381.3,0.0262,NA,1169.497495,0.006238847,4.199493851,34980.86292,0.005217446,5.021613745,Chersich et al
KEN,Y015_039,KEN_2_47,Nairobi,1990,238.98,569,0.42,NA,13747.89131,0.032137123,13.06899806,84610.35621,0.022123889,18.98400426,Fowke et al
KEN,Y015_039,KEN_2_47,Nairobi,2000,15.84,495,0.032,NA,7468.362699,0.012932888,2.474312048,45963.47279,0.008903279,3.594181455,Kaul et al
KEN,Y015_039,KEN_2_01,Mombasa,1993,20,335.4962,0.0596,NA,3670.236925,0.032409909,1.838943776,109780.5299,0.027103879,2.198947223,McClelland et al
KEN,Y015_039,KEN_2_01,Mombasa,1994,36,227.5537,0.1582044,NA,3387.794101,0.029177715,5.422096901,101332.377,0.024400848,6.483561423,McClelland et al
KEN,Y015_039,KEN_2_01,Mombasa,1995,24,213.1636,0.1125896,NA,2946.074847,0.024630367,4.571170142,88120.10355,0.020597975,5.466051774,McClelland et al
KEN,Y015_039,KEN_2_01,Mombasa,1996,29,324.8816,0.08926329,NA,2482.23542,0.020056919,4.450498684,74246.1932,0.016773275,5.321756897,McClelland et al
KEN,Y015_039,KEN_2_01,Mombasa,1997,41,363.8795,0.1126747,NA,2154.875468,0.016782467,6.713833986,64454.52315,0.014034904,8.028177257,McClelland et al
KEN,Y015_039,KEN_2_01,Mombasa,1998,30.99071212,271.1348392,0.1143,NA,1875.800635,0.014056719,8.131342964,56107.11023,0.011755405,9.723186899,McClelland et al
KEN,Y015_039,KEN_2_01,Mombasa,1999,23.99996115,206.6913073,0.116115,NA,1691.989186,0.012195027,9.521503828,50609.12232,0.010198503,11.38549458,McClelland et al
KEN,Y015_039,KEN_2_01,Mombasa,2000,15.99993478,187.6605065,0.08526,NA,1536.673535,0.010646242,8.008459697,45963.47279,0.008903279,9.576247215,McClelland et al
KEN,Y015_039,KEN_2_01,Mombasa,2001,7.999974578,215.5920602,0.037107,NA,1425.622673,0.009487439,3.911171525,42641.82822,0.007934191,4.676847588,McClelland et al
KEN,Y015_039,KEN_2_01,Mombasa,2002,18.99998897,250.954141,0.075711,NA,1368.972339,0.00875137,8.651331313,40947.35897,0.007318628,10.34497151,McClelland et al
KEN,Y015_039,KEN_2_01,Mombasa,2003,13.99999742,245.3935661,0.0570512,NA,1285.238359,0.007895466,7.225818263,38442.79021,0.006602849,8.640390865,McClelland et al
KEN,Y015_039,KEN_2_01,Mombasa,2004,12.9999984,262.6995209,0.04948619,NA,1251.922613,0.007399767,6.687533394,37446.28227,0.006188305,7.996727893,McClelland et al
KEN,Y015_039,KEN_2_01,Mombasa,2005,14.00000074,270.6173854,0.05173356,NA,1229.162623,0.007003329,7.386996018,36765.50776,0.00585677,8.833121814,McClelland et al
KEN,Y015_039,KEN_2_01,Mombasa,2006,7.999999999,228.1998631,0.035056989,NA,1186.906839,0.006539432,5.360861694,35501.59414,0.00546882,6.410338418,McClelland et al
KEN,Y015_039,KEN_2_01,Mombasa,2007,6.999999519,243.9616701,0.02869303,NA,1169.497495,0.006238847,4.59909172,34980.86292,0.005217446,5.49943946,McClelland et al
KEN,Y015_039,KEN_2_01,Mombasa,2008,4.000000001,211.0061602,0.018956793,NA,1130.921798,0.005846914,3.242187921,33827.02448,0.004889679,3.876899457,McClelland et al
KEN,Y015_039,KEN_2_01,Mombasa,2009,8.999999943,162.5078713,0.055381932,NA,1114.318929,0.005588874,9.909318075,33330.41573,0.004673885,11.84922984,McClelland et al
KEN,Y015_039,KEN_2_01,Mombasa,2010,3,187.1430527,0.016030518,NA,1067.110381,0.005191904,3.087598856,31918.3599,0.004341905,3.692047043,McClelland et al
KEN,Y015_039,KEN_2_01,Mombasa,2011,2.999999999,283.1211499,0.010596171,NA,1024.195348,0.004833159,2.19239022,30634.72749,0.004041892,2.621586614,McClelland et al
KEN,Y015_039,KEN_2_01,Mombasa,2012,1.999999981,333.99589,0.005988098,NA,963.4371435,0.004408755,1.358228585,28817.38763,0.00368697,1.624124138,McClelland et al
KEN,Y015_039,KEN_2_01,Mombasa,2013,4,279.515,0.01431,NA,907.2052791,0.004025628,3.554725277,27135.43521,0.003366567,4.250621133,McClelland et al
KEN,Y015_039,KEN_2_01,Mombasa,2014,5,224.578,0.022264,NA,850.6921625,0.003661002,6.081395145,25445.07026,0.003061636,7.271928126,McClelland et al
KEN,Y015_039,KEN_2_01,Mombasa,2015,5,222.379,0.0224841,NA,802.0743976,0.00334857,6.714537596,23990.86332,0.002800355,8.02901861,McClelland et al
KEN,Y015_039,KEN_2_01,Mombasa,2016,4,215.518,0.0185599,NA,729.4024712,0.002955495,6.279793889,21817.17188,0.002471632,7.509166683,McClelland et al
KEN,Y015_039,KEN_2_01,Mombasa,2017,3,236.942,0.0126613,NA,658.8129477,0.002592556,4.883714054,19705.76723,0.002168112,5.839781291,McClelland et al
KEN,Y015_039,KEN_2_47,Nairobi,2010,34,1514,0.022,NA,5186.246253,0.006307044,3.488163493,31918.3599,0.004341905,5.066900332,McKinnon et al
KEN,Y015_039,KEN_2_03,Kilifi,2007,9.153,339,0.027,NA,751.8520613,0.003888847,6.942932747,34980.86292,0.005217446,5.174945463,Price et al 2012
KEN,Y015_039,KEN_2_47,Nairobi,2007,2.108,527,0.004,NA,5683.856244,0.007578854,0.52778431,34980.86292,0.005217446,0.766658587,Price et al 2012
KEN,Y015_039,KEN_2_47,Nairobi (Mukuru District),2008,5.0008,89.3,0.056,NA,5496.37511,0.007102739,7.884282537,33827.02448,0.004889679,11.45269535,Priddy et al
KEN,Y015_039,KEN_2_41,Siaya County,2018,0.5,939.21,5.32E-04,NA,730.9464755,0.004452976,0.119552024,18004.06342,0.001925446,0.276487855,Thirumurthy 2021
NGA,Y015_034,NGA_2_NA,Nasarawa State,2006,70.623,590,0.1197,NA,3122.630487,0.004689115,25.52720466,73466.60299,0.003147703,38.02773217,Forbi et al
RWA,Y015_039,RWA_1_1,Kigali,2007,3,90.8,0.033,NA,1038.493763,0.004682436,7.047613859,4315.187937,0.00224359,14.70857163,Braunstein et al. 
SEN,Y015_024,SEN_1_01dq,Dakar,1987,34,1628,0.0209,NA,13.7071417,8.87E-05,235.6304315,63.69502143,1.09E-04,191.4452997,Gilbert et al
SEN,Y025_034,SEN_1_01dq,Dakar,1987,91,5474,0.0166,NA,23.12921579,2.01E-04,82.60043625,115.3558275,2.61E-04,63.49297053,Gilbert et al
SEN,Y035_044,SEN_1_01dq,Dakar,1987,58,1939,0.0299,NA,10.90239177,1.38E-04,216.0880727,58.85951147,1.81E-04,165.2872668,Gilbert et al
SEN,Y045_049,SEN_1_01dq,Dakar,1987,12,260,0.0462,NA,2.187160721,7.22E-05,639.7563509,11.11221612,9.40E-05,491.412162,Gilbert et al
SEN,Y015_039,SEN_1_13gi,"Dakar, Mbour, Theis",2016,4,303,0.0132,NA,47.88470798,8.16E-05,161.6689191,330.5456233,1.12E-04,117.9267949,Lyons et al
TZA,Y015_024,TZA_2_7zj,Dar es Salaam,2019,12,278,0.0431,NA,82.22907378,5.35E-04,80.583482,16672.39468,0.003110759,13.85514062,Faini et al
TZA,Y025_034,TZA_2_7zj,Dar es Salaam,2019,5,234,0.0214,NA,80.02951466,6.56E-04,32.59735461,13378.62993,0.003663531,5.841359758,Faini et al
TZA,Y035_044,TZA_2_7zj,Dar es Salaam,2019,4,97,0.0413,NA,42.12937465,5.21E-04,79.30763598,6745.740585,0.002688212,15.36337266,Faini et al
TZA,Y015_039,TZA_4_083ht,Mafinga,2002,10,144,0.0694,NA,287.3791427,0.025405053,2.731740026,46764.41276,0.007526966,9.220182558,Kerrigan et al
TZA,Y015_039,TZA_3_12hu,Mbeya Region,2002,19,99,0.192,NA,3396.170638,0.014679416,13.07953956,46764.41276,0.007526966,25.50828604,Riedner et al
UGA,Y015_039,UGA_3_049,Kampala,2010,59,2007,0.029,NA,3393.796722,0.01145433,2.531793608,37453.86778,0.007004181,4.140384351,Kasamba et al
UGA,Y015_039,UGA_3_049,Kampala,2014,46,1394,0.033,NA,3230.103996,0.009346936,3.530568809,35647.35836,0.005715535,5.77373756,Kasamba et al
UGA,Y015_039,UGA_3_049,Kampala,2016,65,2138,0.03,NA,3149.826988,0.008353896,3.591138828,34761.42303,0.005108304,5.872791116,Kasamba et al
ZAF,Y015_049,ZAF,South Africa,2019,190,4130,0.046,NA,138038.3227,0.012061766,3.813703419,138038.3227,0.012061766,3.813703419,Kassanjee et al
ZAF,Y015_019,ZAF_1_MP,Mpumalanga,2014,40.9906,1273,0.0322,1.85,5046.362493,0.0185,1.740540541,41588.09434,0.0185,1.740540541,Kilburn et al
ZAF,Y025_049,ZAF_2_ETH,Durban,2005,10,248.35,0.0403,NA,9282.887337,0.020930434,1.925425888,152388.4075,0.022897846,1.759990909,Naicker et al
ZAF,Y015_024,ZAF_2_ETH,Durban,2005,8,59.36,0.1348,NA,6888.326723,0.029190019,4.618016934,113400.8624,0.030861701,4.367873242,Naicker et al
ZAF,Y015_039,ZAF_1_KZN,KwaZulu-Natal,1998,30,182.3,0.165,NA,52447.68723,0.034553316,4.775229087,243251.63,0.029494942,5.594179429,Van Damme et al
ZMB,Y015_044,ZMB_1_14,"Ndola, Lusaka",2015,24,883.5,0.0274,NA,5565.137311,0.018445192,1.485481937,39498.07785,0.01321676,2.073125287,Malama et al
ZWE,Y015_024,ZWE,Zimbabwe,2014,6.6035,104.8181,0.063,NA,13022.06243,0.010679554,5.899122536,13022.06243,0.010679554,5.899122536,Ali et al 2022
ZWE,Y025_039,ZWE,Zimbabwe,2014,5.76499,174.6969,0.033,NA,12339.98889,0.008816873,3.742823602,12339.98889,0.008816873,3.742823602,Ali et al 2022
ZWE,Y015_024,ZWE_2_31,Chinhoyi,2018,15.995168,226.24,0.0707,NA,120.564775,0.004913941,14.38763578,8153.95178,0.006077866,11.63237149,Chabata et al
ZWE,Y015_024,ZWE_2_29,Karoi,2018,10.9953,192.9,0.057,NA,152.3327703,0.004581314,12.44184525,8153.95178,0.006077866,9.37829102,Chabata et al
ZWE,Y015_024,ZWE_2_60,Kwekwe,2018,11.999471,278.41,0.0431,NA,224.3017467,0.006855849,6.286602641,8153.95178,0.006077866,7.091304262,Chabata et al
ZWE,Y015_024,ZWE_2_63,Zvishavane,2018,8.990996,210.07,0.0428,NA,76.78743702,0.006546525,6.537819227,8153.95178,0.006077866,7.041944836,Chabata et al
ZWE,Y015_039,ZWE,Zimbabwe,2010,3,55.87,0.053697,NA,29858.2422,0.012778467,4.202147394,29858.2422,0.012778467,4.202147394,Jones et al
ZWE,Y015_039,ZWE,Zimbabwe,2011,6,138.73,0.043249,NA,28873.16569,0.012008486,3.601536588,28873.16569,0.012008486,3.601536588,Jones et al
ZWE,Y015_039,ZWE,Zimbabwe,2012,15,263.95,0.05683,NA,27592.62188,0.011145507,5.0989157,27592.62188,0.011145507,5.0989157,Jones et al
ZWE,Y015_039,ZWE,Zimbabwe,2013,12,409.57,0.029299,NA,26541.09294,0.010417344,2.812521207,26541.09294,0.010417344,2.812521207,Jones et al
ZWE,Y015_039,ZWE,Zimbabwe,2014,33,730.7,0.045162,NA,25362.05133,0.009684116,4.663512917,25362.05133,0.009684116,4.663512917,Jones et al
ZWE,Y015_039,ZWE,Zimbabwe,2015,62,1401.95369,0.044224,NA,23815.78028,0.008861851,4.990379737,23815.78028,0.008861851,4.990379737,Jones et al
ZWE,Y015_039,ZWE,Zimbabwe,2016,58,1857.069,0.031232,NA,21627.83237,0.007853752,3.97669802,21627.83237,0.007853752,3.97669802,Jones et al
ZWE,Y015_039,ZWE,Zimbabwe,2017,94,2422.11,0.038809,NA,19221.92487,0.00682073,5.689859855,19221.92487,0.00682073,5.689859855,Jones et al
ZWE,Y015_039,ZWE,Zimbabwe,2018,114,2945.5,0.038703,NA,15880.8134,0.00551135,7.022417232,15880.8134,0.00551135,7.022417232,Jones et al
ZWE,Y015_039,ZWE,Zimbabwe,2019,44,1431.9,0.030729,NA,13786.75013,0.004686083,6.557501893,13786.75013,0.004686083,6.557501893,Jones et al
